Id,Title,Summary,Date,Link,
70,US hospitals overwhelmed as COVID-19 deaths top 250^000 in the country,The number of people in the hospital with COVID-19 in the U.S. has doubled in the past month and set new records every day this week,19 Nov 2020,https://www.indiatoday.in/world/america/191120/us-hospitals-overwhelmed-as-covid-19-deaths-top-250000-in-the-country.html
71,Trump asked aides about striking Iran nuclear site: Report,Iran has long been Trump's bete noire^ and he had reintroduced sanctions and tightened them even further after scrapping the nuclear accord,17 Nov 2020,https://www.indiatoday.in/world/america/171120/trump-asked-aides-about-striking-iran-nuclear-site-report.html
72,Indian students contributed USD 7.6 billion to US economy last year,India remained the second largest source of international students^ despite a 4.4 per cent decline to 193^124 students^ a report said,17 Nov 2020,https://www.indiatoday.in/world/america/171120/indian-students-contributed-usd-76-billion-to-us-economy-last-year.html
73,Thousands rally behind Trump^ believing he won the race he lost,A week after Democrat Joe Biden was declared the winner of the election^ demonstrations in support of Trump took place in other cities,15 Nov 2020,https://www.indiatoday.in/world/america/151120/thousands-rally-behind-trump-believing-he-won-the-race-he-lost.html
74,Trump bans American investments in Chinese companies that would aid PLA,China to directly threaten the US homeland and US forces overseas^ including by developing and deploying weapons of mass destruction,13 Nov 2020,https://www.indiatoday.in/world/america/131120/trump-bans-american-investments-in-chinese-companies-that-would-aid-pl.html
75,Brazil halting COVID-19 vaccine trial surprises the world,CoronaVac is being tested in seven Brazilian states^ plus the federal district where the capital Brasilia lies.,10 Nov 2020,https://www.indiatoday.in/science/science/101120/brazil-halting-covid-19-vaccine-trial-surprises-the-world.html
76,Donald Trump fires Defence Secretary Mark Esper via Twitter,Trump's firing comes days after Esper in an interview told The Military Times that he was not a "yes man" for the president.,10 Nov 2020,https://www.indiatoday.in/world/america/101120/donald-trump-fires-defence-secretary-mark-esper-via-twitter.html
77,Biden to name virus team as worldwide cases top 50 million,The incoming leader made the pledge in his first speech^ signaling he plans to prioritize the pandemic from the outset,09 Nov 2020,https://www.indiatoday.in/world/america/091120/biden-to-name-virus-team-as-worldwide-cases-top-50-million.html
78,World leaders congratulate Biden as Trump refuses to accept election results,Indian Prime Minister Narendra Modi described Biden's win as 'spectacular' while highlighting Harris's Indian heritage,08 Nov 2020,https://www.indiatoday.in/world/america/081120/world-leaders-congratulate-biden-as-trump-refuses-to-accept-election-r.html
79,Time to heal America: Biden urges unity in his first speech as US President-elect,Trump has so far refused to concede the election that attracted a record number of Americans to cast their votes,08 Nov 2020,https://www.indiatoday.in/world/america/081120/time-to-heal-america-biden-urges-unity-in-his-frist-speech-as-us-pres.html
80,Democrat Joe Biden is 46th President of the United States of America,His running mate^ Senator Kamala Harris has become the first Indian-American to become the Vice-President of the United States.,07 Nov 2020,https://www.indiatoday.in/world/america/071120/democrat-joe-biden-is-46th-president-of-the-united-states-of-america.html
81,Why Trumpâs Supreme Court threat is not that easy to execute,In 2000^ the court settled the contested election for President Bush in a 5-4 decision that split the courtâs liberals and conservatives,07 Nov 2020,https://www.indiatoday.in/world/america/071120/why-trumps-supreme-court-threat-is-not-that-easy-to-execute.html
82,US Elections: Trump supporters bring guns to vote-counting centers,Elections officials in states where Biden was ahead said the anger outside their doors made them fear for the safety of their employees,07 Nov 2020,https://www.indiatoday.in/world/america/071120/us-elections-trump-supporters-brings-guns-to-vote-counting-centers.html
83,Confident of victory^ Biden appeals for national unity,Biden delivered a late-night address with the tone of a president-elect and vowed to tackle the Covid-19 pandemic,07 Nov 2020,https://www.indiatoday.in/world/america/071120/confident-in-victory-biden-appeals-for-national-unity.html
84,Biden eases ahead in Georgia; Trump attacks election process,Americans enter their third full day after the election without knowing who would serve as president for the next four years,06 Nov 2020,https://www.indiatoday.in/world/america/061120/biden-eases-ahead-in-georgia-trump-attacks-election-process.html
85,Trump erupts as Biden closes in on US presidency,'They are trying to steal the election^' an increasingly isolated Trump said in an extraordinary appearance at the White House on Thursday,06 Nov 2020,https://www.indiatoday.in/world/america/061120/trump-erupts-as-biden-closes-in-on-us-presidency.html
